Keyword,Views,lang,Top 3 Pages,Class
altcoin,93835.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
13000.0: https://www.youtube.com/watch?v=oVkORO6BXPM&pp=ygUGWm9vbWV4",Zoomex
blockchain,90260.0,en,"40000.0: https://www.youtube.com/watch?v=ZPMId-JtzHA&pp=ygUGWm9vbWV4
32000.0: https://www.youtube.com/watch?v=FNJwYhIrWR0&pp=ygUGWm9vbWV4
5064.0: https://www.youtube.com/watch?v=q6q-_YUaoyY&pp=ygUGWm9vbWV4",Zoomex
TradingCrypto,90000.0,en,"41000.0: https://www.youtube.com/watch?v=dPT_zpL4dTQ&pp=ygUGWm9vbWV4
32000.0: https://www.youtube.com/watch?v=JfR2p7qNokE&pp=ygUGWm9vbWV4
17000.0: https://www.youtube.com/watch?v=cAsbiB1u43c&pp=ygUGWm9vbWV4",Zoomex
TradingBitcoin,90000.0,en,"41000.0: https://www.youtube.com/watch?v=dPT_zpL4dTQ&pp=ygUGWm9vbWV4
32000.0: https://www.youtube.com/watch?v=JfR2p7qNokE&pp=ygUGWm9vbWV4
17000.0: https://www.youtube.com/watch?v=cAsbiB1u43c&pp=ygUGWm9vbWV4",Zoomex
staking,84402.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
Binance,82419.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
gamefi,80899.0,en,"39000.0: https://www.youtube.com/watch?v=IyRoegC0iFU&pp=ygUGWm9vbWV4
32000.0: https://www.youtube.com/watch?v=FNJwYhIrWR0&pp=ygUGWm9vbWV4
6866.0: https://www.youtube.com/watch?v=7MeSaRhDH64&pp=ygUGWm9vbWV4",Zoomex
ftm,79788.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
avax,79259.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
BINANCE,78828.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
presale,78562.0,es,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
passiveincome,78117.0,de,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
matic,78042.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
polygonmatic,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
fantom,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
Safemoonupdate,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
Safemoonama,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
CoinbaseListing,78000.0,de,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
Coindesk,78000.0,de,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
Safemoonprediction,78000.0,sl,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
Safemoonfutureprice,78000.0,fr,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
BinanceCrypto,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
Safemooncoin,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
fantomftm,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
cryptosheff,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
terra,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
CRYPTOCURRENCIES,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
safemoonarmy,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
cryptoshark,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
binancelisting,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
BinanceCryptocurrency,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
terraluna,78000.0,es,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
safemoon,78000.0,en,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
Coinbase,78000.0,de,"45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4
11000.0: https://www.youtube.com/watch?v=bFe1z0MNopg&pp=ygUGWm9vbWV4",Zoomex
