Keyword,Views,lang,Top 3 Pages,Class
BEFRS,6930000.0,en,"5660000.0: https://www.youtube.com/watch?v=H0gnSaz_fmc&pp=ygUETWV4Yw%3D%3D
1270000.0: https://www.youtube.com/watch?v=BdDTwLb9KH8&pp=ygUETWV4Yw%3D%3D",Mexc
BestEverFoodReviewShow,6930000.0,en,"5660000.0: https://www.youtube.com/watch?v=H0gnSaz_fmc&pp=ygUETWV4Yw%3D%3D
1270000.0: https://www.youtube.com/watch?v=BdDTwLb9KH8&pp=ygUETWV4Yw%3D%3D",Mexc
cercle,5710000.0,it,5710000.0: https://www.youtube.com/watch?v=dQjkqyc5nlc&pp=ygUETWV4Yw%3D%3D,Mexc
heating,5710000.0,en,5710000.0: https://www.youtube.com/watch?v=dQjkqyc5nlc&pp=ygUETWV4Yw%3D%3D,Mexc
plumbing,5710000.0,en,5710000.0: https://www.youtube.com/watch?v=dQjkqyc5nlc&pp=ygUETWV4Yw%3D%3D,Mexc
rehau,5710000.0,de,5710000.0: https://www.youtube.com/watch?v=dQjkqyc5nlc&pp=ygUETWV4Yw%3D%3D,Mexc
rautitan,5710000.0,lt,5710000.0: https://www.youtube.com/watch?v=dQjkqyc5nlc&pp=ygUETWV4Yw%3D%3D,Mexc
stabil,5710000.0,en,5710000.0: https://www.youtube.com/watch?v=dQjkqyc5nlc&pp=ygUETWV4Yw%3D%3D,Mexc
plumber,5710000.0,en,5710000.0: https://www.youtube.com/watch?v=dQjkqyc5nlc&pp=ygUETWV4Yw%3D%3D,Mexc
mathame,5710000.0,en,5710000.0: https://www.youtube.com/watch?v=dQjkqyc5nlc&pp=ygUETWV4Yw%3D%3D,Mexc
BestEverMexicoTour,5660000.0,en,5660000.0: https://www.youtube.com/watch?v=H0gnSaz_fmc&pp=ygUETWV4Yw%3D%3D,Mexc
MexicanTacos,5240000.0,en,5240000.0: https://www.youtube.com/watch?v=PGklx6OD_MM&pp=ygUETWV4Yw%3D%3D,Mexc
GetCurried,5240000.0,en,5240000.0: https://www.youtube.com/watch?v=PGklx6OD_MM&pp=ygUETWV4Yw%3D%3D,Mexc
ChickenTacos,5240000.0,en,5240000.0: https://www.youtube.com/watch?v=PGklx6OD_MM&pp=ygUETWV4Yw%3D%3D,Mexc
ChickenSnack,5240000.0,en,5240000.0: https://www.youtube.com/watch?v=PGklx6OD_MM&pp=ygUETWV4Yw%3D%3D,Mexc
history,4660000.0,en,"4660000.0: https://www.youtube.com/watch?v=Q4kF0lRzGnI&pp=ygUETWV4Yw%3D%3D
70000.0: https://www.youtube.com/watch?v=sY-dz5SziWY&pp=ygUETWV4Yw%3D%3D",Mexc
suibhne,4660000.0,de,4660000.0: https://www.youtube.com/watch?v=Q4kF0lRzGnI&pp=ygUETWV4Yw%3D%3D,Mexc
megaprojects,3900000.0,hu,3900000.0: https://www.youtube.com/watch?v=FgPuAVB8a9A&pp=ygUETWV4Yw%3D%3D,Mexc
engineering,3900000.0,nl,3900000.0: https://www.youtube.com/watch?v=FgPuAVB8a9A&pp=ygUETWV4Yw%3D%3D,Mexc
construction,3900000.0,en,3900000.0: https://www.youtube.com/watch?v=FgPuAVB8a9A&pp=ygUETWV4Yw%3D%3D,Mexc
CookwithMe,3710000.0,en,3710000.0: https://www.youtube.com/watch?v=b23DCcCzbhI&pp=ygUETWV4Yw%3D%3D,Mexc
MexicoGP,3540000.0,en,3540000.0: https://www.youtube.com/watch?v=dZxH139j6os&pp=ygUETWV4Yw%3D%3D,Mexc
EasyMexicanRiceRecipe,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
HealthyRecipes,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
RiceAndBeansRecipe,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
rice,3480000.0,en,"3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D
1620000.0: https://www.youtube.com/watch?v=Hdd3l4eiMYM&pp=ygUETWV4Yw%3D%3D
20000.0: https://www.youtube.com/watch?v=ql2Y9Hn0foE&pp=ygUETWV4Yw%3D%3D",Mexc
VeganFood,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
EasyVeganRecipes,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
HealthyVeganRecipes,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
vegan,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
FoodImpromptu,3480000.0,fr,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
MexicanRiceAndBeansRecipe,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
foodie,3480000.0,de,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
MexicanVeganRecipe,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
MexicanRecipes,3480000.0,en,3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D,Mexc
travel,3170000.0,en,"1750000.0: https://www.youtube.com/watch?v=GUMXv0VEtoc&pp=ygUETWV4Yw%3D%3D
1420000.0: https://www.youtube.com/watch?v=UFPxOpJw_eI&pp=ygUETWV4Yw%3D%3D",Mexc
jumpingbeans,3110000.0,lv,3110000.0: https://www.youtube.com/watch?v=3lkdidU79TY&pp=ygUETWV4Yw%3D%3D,Mexc
deeplook,3110000.0,en,3110000.0: https://www.youtube.com/watch?v=3lkdidU79TY&pp=ygUETWV4Yw%3D%3D,Mexc
mexicanjumpingbeans,3110000.0,sl,3110000.0: https://www.youtube.com/watch?v=3lkdidU79TY&pp=ygUETWV4Yw%3D%3D,Mexc
LesStroud,2870000.0,fr,2870000.0: https://www.youtube.com/watch?v=Y4pVYLbPWxw&pp=ygUETWV4Yw%3D%3D,Mexc
Survivorman,2870000.0,es,2870000.0: https://www.youtube.com/watch?v=Y4pVYLbPWxw&pp=ygUETWV4Yw%3D%3D,Mexc
CNBCMakeIt,2350000.0,en,"1570000.0: https://www.youtube.com/watch?v=71bpe4dsAIc&pp=ygUETWV4Yw%3D%3D
780000.0: https://www.youtube.com/watch?v=vs-aRBsGbxc&pp=ygUETWV4Yw%3D%3D",Mexc
Unlocked,2350000.0,en,"1570000.0: https://www.youtube.com/watch?v=71bpe4dsAIc&pp=ygUETWV4Yw%3D%3D
780000.0: https://www.youtube.com/watch?v=vs-aRBsGbxc&pp=ygUETWV4Yw%3D%3D",Mexc
Paris2024,2340000.0,en,2340000.0: https://www.youtube.com/watch?v=7ze8AgkB64U&pp=ygUETWV4Yw%3D%3D,Mexc
Tokyo2020,2340000.0,en,2340000.0: https://www.youtube.com/watch?v=7ze8AgkB64U&pp=ygUETWV4Yw%3D%3D,Mexc
Beijing2022,2340000.0,mt,2340000.0: https://www.youtube.com/watch?v=7ze8AgkB64U&pp=ygUETWV4Yw%3D%3D,Mexc
FoxNews,1880000.0,en,1880000.0: https://www.youtube.com/watch?v=tYxI3CwMN8k&pp=ygUETWV4Yw%3D%3D,Mexc
vacation,1750000.0,en,1750000.0: https://www.youtube.com/watch?v=GUMXv0VEtoc&pp=ygUETWV4Yw%3D%3D,Mexc
MexicoCity,1750000.0,en,1750000.0: https://www.youtube.com/watch?v=GUMXv0VEtoc&pp=ygUETWV4Yw%3D%3D,Mexc
Visit,1750000.0,en,1750000.0: https://www.youtube.com/watch?v=GUMXv0VEtoc&pp=ygUETWV4Yw%3D%3D,Mexc
guide,1750000.0,en,1750000.0: https://www.youtube.com/watch?v=GUMXv0VEtoc&pp=ygUETWV4Yw%3D%3D,Mexc
mexicanfood,1660000.0,en,1660000.0: https://www.youtube.com/watch?v=6DfC12VEnNQ&pp=ygUETWV4Yw%3D%3D,Mexc
cooking,1620000.0,en,1620000.0: https://www.youtube.com/watch?v=07zfMPkN_P8&pp=ygUETWV4Yw%3D%3D,Mexc
simplymamacooks,1620000.0,pl,1620000.0: https://www.youtube.com/watch?v=07zfMPkN_P8&pp=ygUETWV4Yw%3D%3D,Mexc
MexicanRice,1620000.0,en,"3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D
1620000.0: https://www.youtube.com/watch?v=Hdd3l4eiMYM&pp=ygUETWV4Yw%3D%3D",Mexc
Ranveerbrar,1620000.0,nl,1620000.0: https://www.youtube.com/watch?v=Hdd3l4eiMYM&pp=ygUETWV4Yw%3D%3D,Mexc
Easyricerecipe,1620000.0,ro,1620000.0: https://www.youtube.com/watch?v=Hdd3l4eiMYM&pp=ygUETWV4Yw%3D%3D,Mexc
tijuana,1610000.0,nl,1610000.0: https://www.youtube.com/watch?v=jl4lzZ_WuXU&pp=ygUETWV4Yw%3D%3D,Mexc
travelvlog,1420000.0,en,1420000.0: https://www.youtube.com/watch?v=UFPxOpJw_eI&pp=ygUETWV4Yw%3D%3D,Mexc
vanlife,1420000.0,de,1420000.0: https://www.youtube.com/watch?v=UFPxOpJw_eI&pp=ygUETWV4Yw%3D%3D,Mexc
BestEverUSATour,1270000.0,en,1270000.0: https://www.youtube.com/watch?v=BdDTwLb9KH8&pp=ygUETWV4Yw%3D%3D,Mexc
StateFairofTexas,1270000.0,en,1270000.0: https://www.youtube.com/watch?v=BdDTwLb9KH8&pp=ygUETWV4Yw%3D%3D,Mexc
Mexican,1030000.0,en,"5240000.0: https://www.youtube.com/watch?v=PGklx6OD_MM&pp=ygUETWV4Yw%3D%3D
3480000.0: https://www.youtube.com/watch?v=UNMrwudowfg&pp=ygUETWV4Yw%3D%3D
1620000.0: https://www.youtube.com/watch?v=Hdd3l4eiMYM&pp=ygUETWV4Yw%3D%3D",Mexc
MexicanFood,1030000.0,en,1030000.0: https://www.youtube.com/watch?v=o_-NRMYO1Ak&pp=ygUETWV4Yw%3D%3D,Mexc
Cuisine,1030000.0,en,1030000.0: https://www.youtube.com/watch?v=o_-NRMYO1Ak&pp=ygUETWV4Yw%3D%3D,Mexc
trump,896000.0,en,"570000.0: https://www.youtube.com/watch?v=fgCyohn9pNk&pp=ygUETWV4Yw%3D%3D
250000.0: https://www.youtube.com/watch?v=UrN56pQdAxI&pp=ygUETWV4Yw%3D%3D
110000.0: https://www.youtube.com/watch?v=PIV1slVBbKI&pp=ygUETWV4Yw%3D%3D",Mexc
publicrecpod,580000.0,pl,580000.0: https://www.youtube.com/watch?v=LzyyePLZvZk&pp=ygUETWV4Yw%3D%3D,Mexc
davidpakmanshow,570000.0,en,570000.0: https://www.youtube.com/watch?v=fgCyohn9pNk&pp=ygUETWV4Yw%3D%3D,Mexc
mexc,554216.0,en,"70000.0: https://www.youtube.com/watch?v=IhSX3MVcQvg&pp=ygUETWV4Yw%3D%3D
54000.0: https://www.youtube.com/watch?v=hmA1WRbVrGU&pp=ygUETWV4Yw%3D%3D
50000.0: https://www.youtube.com/watch?v=EbPG5b5YxrU&pp=ygUETWV4Yw%3D%3D",Mexc
documentary,514000.0,en,"430000.0: https://www.youtube.com/watch?v=XeApthRzOGw&pp=ygUETWV4Yw%3D%3D
84000.0: https://www.youtube.com/watch?v=2xIMEGitCdQ&pp=ygUETWV4Yw%3D%3D",Mexc
VacationRental,470000.0,en,470000.0: https://www.youtube.com/watch?v=BdJ_R7SoSjU&pp=ygUETWV4Yw%3D%3D,Mexc
MansionTour,470000.0,en,470000.0: https://www.youtube.com/watch?v=BdJ_R7SoSjU&pp=ygUETWV4Yw%3D%3D,Mexc
Zihuatanejo,470000.0,sl,470000.0: https://www.youtube.com/watch?v=BdJ_R7SoSjU&pp=ygUETWV4Yw%3D%3D,Mexc
crypto,463315.0,en,"70000.0: https://www.youtube.com/watch?v=IhSX3MVcQvg&pp=ygUETWV4Yw%3D%3D
50000.0: https://www.youtube.com/watch?v=EbPG5b5YxrU&pp=ygUETWV4Yw%3D%3D
36000.0: https://www.youtube.com/watch?v=6HvLtvWj-i0&pp=ygUETWV4Yw%3D%3D",Mexc
swu,430000.0,de,430000.0: https://www.youtube.com/watch?v=XeApthRzOGw&pp=ygUETWV4Yw%3D%3D,Mexc
crimeandpunishment,430000.0,en,430000.0: https://www.youtube.com/watch?v=XeApthRzOGw&pp=ygUETWV4Yw%3D%3D,Mexc
crimestories,430000.0,sl,430000.0: https://www.youtube.com/watch?v=XeApthRzOGw&pp=ygUETWV4Yw%3D%3D,Mexc
gangster,430000.0,da,430000.0: https://www.youtube.com/watch?v=XeApthRzOGw&pp=ygUETWV4Yw%3D%3D,Mexc
mafia,430000.0,en,430000.0: https://www.youtube.com/watch?v=XeApthRzOGw&pp=ygUETWV4Yw%3D%3D,Mexc
